MR,H4,H27,u0_M,u0_R,u0_MR,u0_H4,u0_KDM5A,u0_H0,u0_PRC2,u0_H27,u0_KDM6A,u0_KMT
47.978,49.377,0.0,44.0,44.0,6.0,4.790157740248832,79.0,30.607708495488794,51.0,14.602133764262376,50.0,0.0
47.978,49.377,0.0,50.0,50.0,0.0,19.02783905684474,99.0,2.632939081916498,50.0,28.339221861238762,4.0,30.0
47.978,49.377,0.0,9.0,9.0,41.0,9.767757750371095,98.0,27.860770971676807,21.0,12.371471277952102,86.0,43.0
47.978,49.377,0.0,15.0,15.0,35.0,21.908895122704028,16.0,6.613508461980354,16.0,21.477596415315613,11.0,40.0
47.978,49.377,0.0,13.0,13.0,37.0,17.89492604603069,96.0,4.46194995841892,17.0,27.643123995550386,46.0,13.0
47.978,49.377,0.0,50.0,50.0,0.0,26.346489106163467,61.0,10.738846586277099,77.0,12.914664307559436,90.0,56.0
47.978,49.377,0.0,7.0,7.0,43.0,1.935992666522827,23.0,45.24479370394678,86.0,2.819213629530393,67.0,31.0
47.978,49.377,0.0,33.0,33.0,17.0,24.331743733627214,81.0,0.039726676341720835,69.0,25.628529590031064,32.0,18.0
47.978,49.377,0.0,29.0,29.0,21.0,25.43512820271781,72.0,10.770488558283335,11.0,13.794383238998856,15.0,9.0
47.978,49.377,0.0,24.0,24.0,26.0,9.03624684744295,73.0,11.026196735217944,86.0,29.93755641733911,57.0,53.0
47.978,49.377,0.0,38.0,38.0,12.0,13.55445008648257,26.0,30.65968368131526,50.0,5.785866232202166,91.0,30.0
47.978,49.377,0.0,20.0,20.0,30.0,16.532574934195114,45.0,24.287638215036935,35.0,9.179786850767949,84.0,20.0
47.978,49.377,0.0,20.0,20.0,30.0,23.21091453070703,46.0,14.710531932742908,51.0,12.07855353655007,50.0,10.0
47.978,49.377,0.0,25.0,25.0,25.0,18.452282110980576,12.0,9.704670052289616,12.0,21.843047836729806,99.0,2.0
47.978,49.377,0.0,40.0,40.0,10.0,8.424645969844786,57.0,24.075451967484213,92.0,17.499902062671,15.0,51.0
47.978,49.377,0.0,3.0,3.0,47.0,44.859895411819174,5.0,5.0299188321691055,17.0,0.11018575601171945,93.0,77.0
47.978,49.377,0.0,47.0,47.0,3.0,6.799007597639381,46.0,22.67710366980215,11.0,20.52388873255847,48.0,71.0
47.978,49.377,0.0,37.0,37.0,13.0,22.879709402635477,21.0,18.997213812075497,34.0,8.123076785289024,72.0,85.0
47.978,49.377,0.0,41.0,41.0,9.0,0.8584027858608798,23.0,6.407410446410131,63.0,42.734186767728986,92.0,9.0
47.978,49.377,0.0,35.0,35.0,15.0,48.08067862595016,51.0,0.7185609928554906,99.0,1.2007603811943466,75.0,55.0
47.978,49.377,0.0,24.0,24.0,26.0,16.3186494574078,29.0,27.160854221508767,37.0,6.5204963210834315,30.0,56.0
47.978,49.377,0.0,23.0,23.0,27.0,28.475270239281535,40.0,19.390915162496416,13.0,2.133814598222047,89.0,81.0
47.978,49.377,0.0,46.0,46.0,4.0,33.79760799393298,66.0,5.092103067072287,44.0,11.110288938994731,71.0,44.0
47.978,49.377,0.0,37.0,37.0,13.0,18.11993252429985,81.0,6.842139604374063,91.0,25.03792787132609,81.0,81.0
47.978,49.377,0.0,42.0,42.0,8.0,12.723130104253745,89.0,36.946050503285825,29.0,0.3308193924604315,83.0,79.0
47.978,49.377,0.0,25.0,25.0,25.0,8.384911790460027,66.0,23.069675059482257,43.0,18.54541315005772,40.0,16.0
47.978,49.377,0.0,8.0,8.0,42.0,0.5467324144107918,66.0,13.965988432698232,100.0,35.48727915289098,98.0,3.0
47.978,49.377,0.0,38.0,38.0,12.0,20.861982590830703,1.0,16.772252267766014,72.0,12.365765141403287,66.0,20.0
47.978,49.377,0.0,15.0,15.0,35.0,24.82160417102476,78.0,17.132917803033713,81.0,8.045478025941524,88.0,10.0
47.978,49.377,0.0,50.0,50.0,0.0,17.01167258504505,96.0,16.46003575007304,22.0,16.52829166488191,16.0,1.0
47.978,49.377,0.0,20.0,20.0,30.0,3.2169418174432636,99.0,26.44695619242404,20.0,20.336101990132697,84.0,67.0
47.978,49.377,0.0,49.0,49.0,1.0,6.817942594922456,62.0,37.242245265199415,84.0,5.939812139878129,47.0,13.0
47.978,49.377,0.0,35.0,35.0,15.0,0.7385655501958854,82.0,17.983850059684116,35.0,31.277584390119998,36.0,35.0
47.978,49.377,0.0,29.0,29.0,21.0,11.295091328346633,99.0,10.325911281061213,81.0,28.37899739059215,28.0,59.0
47.978,49.377,0.0,10.0,10.0,40.0,5.043872082213205,26.0,24.04520458376393,5.0,20.91092333402287,45.0,100.0
47.978,49.377,0.0,33.0,33.0,17.0,17.465815582941737,7.0,11.207996337014537,55.0,21.32618808004373,82.0,70.0
47.978,49.377,0.0,3.0,3.0,47.0,8.702687777868842,28.0,17.360694076437916,39.0,23.936618145693238,71.0,91.0
47.978,49.377,0.0,8.0,8.0,42.0,33.7665016597803,81.0,7.515638897817555,22.0,8.717859442402146,6.0,90.0
47.978,49.377,0.0,39.0,39.0,11.0,22.107616699719493,82.0,15.336053212532818,77.0,12.55633008774769,46.0,97.0
47.978,49.377,0.0,2.0,2.0,48.0,20.32962041700417,99.0,10.146651700412338,31.0,19.5237278825835,82.0,29.0
47.978,49.377,0.0,44.0,44.0,6.0,1.0711135234853661,48.0,23.095453175877868,5.0,25.833433300636766,25.0,25.0
47.978,49.377,0.0,15.0,15.0,35.0,10.946355085961748,32.0,25.077103414221074,11.0,13.976541499817175,80.0,8.0
47.978,49.377,0.0,12.0,12.0,38.0,16.975002058994725,50.0,18.227209607364344,20.0,14.797788333640929,94.0,54.0
47.978,49.377,0.0,42.0,42.0,8.0,23.587631829908783,29.0,23.762931124128354,46.0,2.649437045962864,12.0,74.0
47.978,49.377,0.0,15.0,15.0,35.0,8.254686209388675,52.0,37.40654907939901,83.0,4.338764711212321,34.0,8.0
47.978,49.377,0.0,11.0,11.0,39.0,21.076963904027522,88.0,21.004551543043274,60.0,7.918484552929205,89.0,2.0
47.978,49.377,0.0,46.0,46.0,4.0,10.505076594806754,9.0,23.723320203884164,5.0,15.771603201309084,66.0,98.0
47.978,49.377,0.0,28.0,28.0,22.0,25.303602418426596,7.0,23.270764260873605,35.0,1.4256333206997973,32.0,71.0
47.978,49.377,0.0,12.0,12.0,38.0,18.130962078381856,36.0,12.681632763381275,45.0,19.187405158236867,89.0,96.0
47.978,49.377,0.0,17.0,17.0,33.0,15.502448740440332,11.0,22.066968429278802,66.0,12.430582830280864,100.0,2.0
47.978,49.377,0.0,49.0,49.0,1.0,27.002197968877685,45.0,1.7423549409786623,13.0,21.255447090143655,89.0,76.0
47.978,49.377,0.0,13.0,13.0,37.0,20.926210347417666,16.0,13.318166477350657,99.0,15.755623175231676,44.0,40.0
47.978,49.377,0.0,7.0,7.0,43.0,16.84817364455248,3.0,6.764760095760513,32.0,26.387066259687003,17.0,10.0
47.978,49.377,0.0,49.0,49.0,1.0,9.483823025969423,28.0,26.838830628842754,76.0,13.677346345187825,98.0,85.0
47.978,49.377,0.0,2.0,2.0,48.0,0.7818848262099738,20.0,35.553959322603276,34.0,13.664155851186749,100.0,73.0
47.978,49.377,0.0,40.0,40.0,10.0,23.326678900567178,59.0,14.470308187121994,69.0,12.203012912310829,19.0,7.0
47.978,49.377,0.0,14.0,14.0,36.0,16.99963387433684,87.0,10.06681059489141,0.0,22.933555530771752,3.0,24.0
47.978,49.377,0.0,44.0,44.0,6.0,10.332900333357513,18.0,30.7991966511466,72.0,8.867903015495884,52.0,53.0
47.978,49.377,0.0,17.0,17.0,33.0,22.75389093216251,38.0,5.268326140964367,30.0,21.97778292687312,18.0,42.0
47.978,49.377,0.0,14.0,14.0,36.0,14.92101863061718,86.0,22.900678652378087,19.0,12.17830271700473,94.0,89.0
47.978,49.377,0.0,1.0,1.0,49.0,1.2164744927148448,75.0,22.37185233351092,58.0,26.411673173774236,57.0,67.0
47.978,49.377,0.0,16.0,16.0,34.0,3.89545177572372,93.0,5.218975825642002,27.0,40.885572398634274,64.0,51.0
47.978,49.377,0.0,45.0,45.0,5.0,21.357078702087502,40.0,20.469144288909234,34.0,8.173777009003263,83.0,84.0
47.978,49.377,0.0,0.0,0.0,50.0,12.995326952157507,75.0,28.275065186106804,48.0,8.729607861735683,18.0,68.0
47.978,49.377,0.0,11.0,11.0,39.0,19.877514916070677,51.0,18.015694174498346,100.0,12.106790909430984,18.0,67.0
47.978,49.377,0.0,39.0,39.0,11.0,11.340795944350587,66.0,20.610573295234563,60.0,18.048630760414852,50.0,37.0
47.978,49.377,0.0,50.0,50.0,0.0,11.495336197380688,93.0,6.103236503146825,75.0,32.40142729947249,90.0,82.0
47.978,49.377,0.0,13.0,13.0,37.0,30.062602552639678,90.0,13.483904024756256,67.0,6.453493422604066,28.0,77.0
47.978,49.377,0.0,50.0,50.0,0.0,12.161166637371194,85.0,26.869453004985306,72.0,10.969380357643502,74.0,15.0
47.978,49.377,0.0,48.0,48.0,2.0,11.648604697827727,72.0,25.864954374504464,76.0,12.48644092766781,60.0,76.0
47.978,49.377,0.0,37.0,37.0,13.0,37.29215288018928,75.0,4.679694799928365,36.0,8.028152319882357,92.0,62.0
47.978,49.377,0.0,3.0,3.0,47.0,14.007367029641244,57.0,19.84623900628115,87.0,16.146393964077607,68.0,32.0
47.978,49.377,0.0,45.0,45.0,5.0,22.508469001608113,17.0,6.655562695209901,94.0,20.835968303181982,86.0,58.0
47.978,49.377,0.0,10.0,10.0,40.0,17.588296134312294,24.0,26.278962946743484,93.0,6.13274091894422,60.0,24.0
47.978,49.377,0.0,9.0,9.0,41.0,12.071867485353284,20.0,35.95103285951542,56.0,1.9770996551312907,34.0,74.0
47.978,49.377,0.0,40.0,40.0,10.0,8.314592741972708,89.0,36.05302634128691,38.0,5.632380916740385,55.0,30.0
47.978,49.377,0.0,37.0,37.0,13.0,20.417352497701774,43.0,22.33299623593192,14.0,7.249651266366306,69.0,37.0
47.978,49.377,0.0,27.0,27.0,23.0,18.84142871150976,10.0,0.9440968117960613,56.0,30.21447447669418,86.0,54.0
47.978,49.377,0.0,24.0,24.0,26.0,7.494555667102437,89.0,38.6336430000251,69.0,3.8718013328724603,65.0,25.0
47.978,49.377,0.0,29.0,29.0,21.0,20.14551339849203,32.0,9.424684784127834,36.0,20.429801817380135,82.0,53.0
47.978,49.377,0.0,21.0,21.0,29.0,26.02742039049789,55.0,10.602651299100796,94.0,13.369928310401312,91.0,58.0
47.978,49.377,0.0,40.0,40.0,10.0,21.466697265142457,12.0,10.728977817599006,42.0,17.804324917258544,62.0,9.0
47.978,49.377,0.0,23.0,23.0,27.0,30.867903158136503,50.0,3.226461561649348,65.0,15.905635280214149,12.0,90.0
47.978,49.377,0.0,9.0,9.0,41.0,22.809583286307504,43.0,26.442338015093608,79.0,0.7480786985988888,75.0,64.0
47.978,49.377,0.0,26.0,26.0,24.0,18.322242071961874,96.0,16.58205068510043,39.0,15.095707242937696,9.0,72.0
47.978,49.377,0.0,20.0,20.0,30.0,10.816507607345967,66.0,6.836938287514138,95.0,32.346554105139894,77.0,40.0
47.978,49.377,0.0,50.0,50.0,0.0,36.67951814986228,79.0,4.763754746622238,25.0,8.55672710351548,73.0,63.0
47.978,49.377,0.0,50.0,50.0,0.0,29.038717217677014,5.0,11.064811415465588,61.0,9.8964713668574,48.0,74.0
47.978,49.377,0.0,11.0,11.0,39.0,15.85051606115242,45.0,6.299038156557363,8.0,27.850445782290215,87.0,35.0
47.978,49.377,0.0,27.0,27.0,23.0,1.4777270193262613,26.0,12.898509456860381,77.0,35.62376352381336,37.0,97.0
47.978,49.377,0.0,14.0,14.0,36.0,30.639982185653345,19.0,10.996736544494146,55.0,8.363281269852509,54.0,68.0
47.978,49.377,0.0,17.0,17.0,33.0,7.308766826128178,74.0,22.959397083205026,98.0,19.731836090666796,88.0,93.0
47.978,49.377,0.0,35.0,35.0,15.0,20.517825671947364,97.0,18.51815461926722,22.0,10.964019708785418,20.0,36.0
47.978,49.377,0.0,43.0,43.0,7.0,29.24688750958463,38.0,1.1767170275702066,13.0,19.576395462845163,53.0,25.0
47.978,49.377,0.0,40.0,40.0,10.0,22.561941445370074,98.0,3.0169224829224692,76.0,24.421136071707455,90.0,94.0
47.978,49.377,0.0,33.0,33.0,17.0,18.082590617813473,79.0,18.166358393969933,45.0,13.7510509882166,58.0,88.0
47.978,49.377,0.0,33.0,33.0,17.0,9.176043493057897,55.0,2.9849195086859326,57.0,37.83903699825617,35.0,5.0
47.978,49.377,0.0,39.0,39.0,11.0,6.583617100865349,51.0,28.775873995675774,92.0,14.640508903458873,31.0,18.0
47.978,49.377,0.0,5.0,5.0,45.0,13.012749159357202,87.0,24.3274811414837,7.0,12.659769699159101,39.0,59.0
47.978,49.377,0.0,29.0,29.0,21.0,11.953314736817426,48.0,20.791118505146535,81.0,17.25556675803604,17.0,18.0
47.978,49.377,0.0,27.0,27.0,23.0,25.272357049989157,88.0,4.556034584304595,25.0,20.171608365706252,79.0,38.0
47.978,49.377,0.0,8.0,8.0,42.0,21.054363481130327,40.0,7.516737616487655,46.0,21.42889890238202,6.0,68.0
47.978,49.377,0.0,50.0,50.0,0.0,25.124107462521195,3.0,21.635140012629666,98.0,3.2407525248491384,42.0,73.0
47.978,49.377,0.0,25.0,25.0,25.0,24.554723239331107,22.0,10.401547249908702,51.0,15.043729510760189,56.0,29.0
47.978,49.377,0.0,8.0,8.0,42.0,24.254799833914294,43.0,11.502683420689966,15.0,14.24251674539574,32.0,7.0
47.978,49.377,0.0,18.0,18.0,32.0,10.92832160401832,16.0,9.761821800317728,39.0,29.309856595663952,3.0,99.0
47.978,49.377,0.0,13.0,13.0,37.0,19.47913870756689,50.0,11.216254764585218,47.0,19.30460652784789,18.0,37.0
47.978,49.377,0.0,27.0,27.0,23.0,9.109279296587214,22.0,25.038604885142206,94.0,15.852115818270581,94.0,78.0
47.978,49.377,0.0,15.0,15.0,35.0,2.3413991565648185,85.0,38.01489467479908,53.0,9.643706168636104,37.0,7.0
47.978,49.377,0.0,35.0,35.0,15.0,21.797789357576047,79.0,17.972740784835594,11.0,10.229469857588363,57.0,10.0
47.978,49.377,0.0,42.0,42.0,8.0,22.19530885703555,38.0,7.274478246029866,69.0,20.530212896934586,93.0,56.0
47.978,49.377,0.0,36.0,36.0,14.0,12.100459912854985,71.0,22.126404720103775,76.0,15.773135367041236,95.0,16.0
47.978,49.377,0.0,7.0,7.0,43.0,5.005755280169948,22.0,9.26564885988023,28.0,35.72859585994983,98.0,60.0
47.978,49.377,0.0,35.0,35.0,15.0,4.070121314875016,17.0,19.730086478219064,58.0,26.19979220690592,93.0,5.0
47.978,49.377,0.0,37.0,37.0,13.0,16.946004172714527,7.0,23.073902127799673,88.0,9.980093699485801,66.0,40.0
47.978,49.377,0.0,29.0,29.0,21.0,29.614464815715777,66.0,4.04881662596711,69.0,16.336718558317116,17.0,64.0
47.978,49.377,0.0,16.0,16.0,34.0,37.54356339802846,76.0,8.3929605737247,13.0,4.063476028246839,49.0,39.0
47.978,49.377,0.0,0.0,0.0,50.0,13.648894258045408,100.0,20.906666369194884,1.0,15.444439372759708,92.0,7.0
47.978,49.377,0.0,44.0,44.0,6.0,2.943964362433589,49.0,18.943525931857014,71.0,28.112509705709396,43.0,14.0
47.978,49.377,0.0,44.0,44.0,6.0,19.012884094872163,98.0,14.396806961863547,17.0,16.590308943264287,30.0,29.0
47.978,49.377,0.0,24.0,24.0,26.0,7.128663418544218,65.0,0.8670758174089936,25.0,42.00426076404678,75.0,71.0
47.978,49.377,0.0,13.0,13.0,37.0,25.993659807682224,79.0,23.81495730719667,60.0,0.19138288512110468,30.0,25.0
47.978,49.377,0.0,23.0,23.0,27.0,9.778681967414045,30.0,28.364964066938327,51.0,11.856353965647633,11.0,49.0
47.978,49.377,0.0,43.0,43.0,7.0,16.986322904188388,19.0,8.224842801847538,2.0,24.788834293964072,16.0,96.0
47.978,49.377,0.0,17.0,17.0,33.0,5.132040561970253,6.0,24.20285194545428,28.0,20.665107492575466,44.0,24.0
47.978,49.377,0.0,2.0,2.0,48.0,14.358133397752072,50.0,1.9266516015151074,28.0,33.71521500073282,28.0,78.0
47.978,49.377,0.0,35.0,35.0,15.0,14.400085440189084,61.0,16.300334582874157,94.0,19.29957997693676,64.0,66.0
47.978,49.377,0.0,17.0,17.0,33.0,4.048942187024214,27.0,4.984937781528928,98.0,40.966120031446856,41.0,89.0
47.978,49.377,0.0,5.0,5.0,45.0,18.57089033513753,56.0,29.467039823585928,100.0,1.962069841276541,23.0,79.0
47.978,49.377,0.0,0.0,0.0,50.0,8.223975605375506,54.0,29.12209699464768,58.0,12.653927399976817,39.0,74.0
47.978,49.377,0.0,21.0,21.0,29.0,16.141767238323467,93.0,27.072155293168056,41.0,6.786077468508479,50.0,83.0
47.978,49.377,0.0,0.0,0.0,50.0,3.8868495081479755,25.0,24.856886759530177,80.0,21.256263732321848,69.0,57.0
47.978,49.377,0.0,48.0,48.0,2.0,6.406456648048761,13.0,16.235166574915812,77.0,27.358376777035428,94.0,13.0
47.978,49.377,0.0,0.0,0.0,50.0,23.131663156609857,2.0,0.8875350851840029,20.0,25.980801758206145,85.0,11.0
47.978,49.377,0.0,45.0,45.0,5.0,12.757356977690579,97.0,17.13347334326696,81.0,20.10916967904246,77.0,51.0
47.978,49.377,0.0,33.0,33.0,17.0,16.9724799706904,18.0,15.071576290008597,68.0,17.955943739301,48.0,15.0
47.978,49.377,0.0,4.0,4.0,46.0,44.04014587176115,38.0,0.5992116031267658,45.0,5.360642525112086,44.0,88.0
47.978,49.377,0.0,38.0,38.0,12.0,4.090136817170955,90.0,28.637431951787633,35.0,17.272431231041416,27.0,58.0
47.978,49.377,0.0,28.0,28.0,22.0,22.35664171450565,75.0,6.424063349559356,6.0,21.219294935934993,27.0,35.0
47.978,49.377,0.0,43.0,43.0,7.0,25.111971508548503,92.0,1.551873972102772,92.0,23.336154519348728,58.0,12.0
47.978,49.377,0.0,29.0,29.0,21.0,6.3706076590682965,23.0,14.760918969876645,20.0,28.868473371055057,7.0,63.0
47.978,49.377,0.0,5.0,5.0,45.0,10.285609317660874,30.0,19.217295332627174,97.0,20.497095349711948,96.0,94.0
