MR,H4,H27,u0_R,u0_NR,u0_M,u0_MR,u0_H4,u0_KDM5A,u0_H0,u0_PRC2,u0_H27,u0_KDM6A,u0_KMT
498.355,43.538,0.001,41.0,500.0,491.0,9.0,16.21254056358592,75.0,16.131768790804557,87.0,17.65569064560952,52.0,57.0
498.355,43.538,0.001,10.0,500.0,460.0,40.0,9.9220834172513,21.0,18.45373821815811,57.0,21.624178364590584,64.0,35.0
498.355,43.538,0.001,38.0,500.0,488.0,12.0,22.14009251423332,63.0,15.3440063980356,4.0,12.51590108773108,59.0,81.0
498.355,43.538,0.001,45.0,500.0,495.0,5.0,29.683100233527675,77.0,4.880698852594667,13.0,15.436200913877657,95.0,23.0
498.355,43.538,0.001,48.0,500.0,498.0,2.0,15.181022265548966,20.0,13.846802826773278,58.0,20.972174907677754,44.0,48.0
498.355,43.538,0.001,37.0,500.0,487.0,13.0,25.37313827926137,5.0,13.411303051702625,39.0,11.215558669036007,90.0,10.0
498.355,43.538,0.001,1.0,500.0,451.0,49.0,25.31608409622669,40.0,19.90302748496962,61.0,4.780888418803692,23.0,85.0
498.355,43.538,0.001,32.0,500.0,482.0,18.0,17.08759804102784,93.0,7.71497111670321,22.0,25.197430842268954,23.0,13.0
498.355,43.538,0.001,17.0,500.0,467.0,33.0,17.56884586616002,83.0,12.877931127566129,51.0,19.553223006273846,73.0,85.0
498.355,43.538,0.001,17.0,500.0,467.0,33.0,11.684519698432926,7.0,24.101180065512025,15.0,14.214300236055042,61.0,11.0
498.355,43.538,0.001,46.0,500.0,496.0,4.0,20.48360039655213,7.0,13.873789159664852,54.0,15.642610443783017,25.0,96.0
498.355,43.538,0.001,32.0,500.0,482.0,18.0,9.01812466032974,49.0,30.332819322482028,22.0,10.649056017188235,81.0,69.0
498.355,43.538,0.001,30.0,500.0,480.0,20.0,15.30423340143664,70.0,3.461019966804603,37.0,31.234746631758757,90.0,50.0
498.355,43.538,0.001,5.0,500.0,455.0,45.0,30.178811455503368,39.0,13.160307445470433,88.0,6.660881099026197,83.0,50.0
498.355,43.538,0.001,43.0,500.0,493.0,7.0,16.459344824756677,94.0,25.056295152059562,65.0,8.484360023183761,100.0,23.0
498.355,43.538,0.001,3.0,500.0,453.0,47.0,24.895912068059808,16.0,0.256186173354122,89.0,24.847901758586072,33.0,47.0
498.355,43.538,0.001,0.0,500.0,450.0,50.0,26.672269244573393,75.0,10.126601416002883,15.0,13.201129339423721,30.0,59.0
498.355,43.538,0.001,27.0,500.0,477.0,23.0,18.127397889547574,95.0,6.2204960823871325,85.0,25.65210602806529,4.0,41.0
498.355,43.538,0.001,37.0,500.0,487.0,13.0,17.607090719562677,4.0,21.303992993017946,51.0,11.088916287419378,40.0,90.0
498.355,43.538,0.001,8.0,500.0,458.0,42.0,7.512280936663491,18.0,23.578433844558454,10.0,18.909285218778056,94.0,45.0
498.355,43.538,0.001,17.0,500.0,467.0,33.0,12.75665215624278,25.0,4.649647237238915,30.0,32.593700606518304,44.0,57.0
498.355,43.538,0.001,1.0,500.0,451.0,49.0,12.733842797440161,44.0,12.872812722979907,25.0,24.39334447957993,90.0,69.0
498.355,43.538,0.001,39.0,500.0,489.0,11.0,11.205422578103029,55.0,23.054068755783575,99.0,15.740508666113394,42.0,44.0
498.355,43.538,0.001,8.0,500.0,458.0,42.0,0.11380350431162264,65.0,17.22892704259636,77.0,32.65726945309202,31.0,52.0
498.355,43.538,0.001,46.0,500.0,496.0,4.0,10.660375223107183,42.0,7.81981838628115,71.0,31.51980639061167,19.0,71.0
498.355,43.538,0.001,48.0,500.0,498.0,2.0,15.935597903869686,17.0,27.901432255886434,8.0,6.162969840243882,70.0,65.0
498.355,43.538,0.001,19.0,500.0,469.0,31.0,21.322928593480707,29.0,10.806680475347452,22.0,17.87039093117184,15.0,67.0
498.355,43.538,0.001,6.0,500.0,456.0,44.0,24.75449326445608,14.0,25.191060017897293,29.0,0.05444671764662658,71.0,51.0
498.355,43.538,0.001,1.0,500.0,451.0,49.0,17.949267726706065,37.0,17.685798297172795,15.0,14.364933976121142,59.0,96.0
498.355,43.538,0.001,39.0,500.0,489.0,11.0,12.627880274910941,79.0,7.092711400303864,19.0,30.279408324785198,74.0,73.0
498.355,43.538,0.001,3.0,500.0,453.0,47.0,20.727992005136034,97.0,15.669695602095347,41.0,13.60231239276862,93.0,88.0
498.355,43.538,0.001,23.0,500.0,473.0,27.0,30.805019501691895,83.0,13.468989425543326,73.0,5.725991072764778,5.0,44.0
498.355,43.538,0.001,26.0,500.0,476.0,24.0,11.052188067051809,23.0,21.214414486092178,55.0,17.733397446856014,60.0,100.0
498.355,43.538,0.001,16.0,500.0,466.0,34.0,24.84652074918227,72.0,20.551406848222896,56.0,4.60207240259483,74.0,67.0
498.355,43.538,0.001,19.0,500.0,469.0,31.0,17.990201615296446,14.0,19.072433774188436,39.0,12.937364610515118,82.0,79.0
498.355,43.538,0.001,43.0,500.0,493.0,7.0,14.739054781887221,93.0,31.18407470633338,91.0,4.076870511779395,11.0,90.0
498.355,43.538,0.001,35.0,500.0,485.0,15.0,27.599201306401067,36.0,14.121930222340227,21.0,8.278868471258706,5.0,50.0
498.355,43.538,0.001,36.0,500.0,486.0,14.0,1.958407646589984,100.0,21.522723207947685,49.0,26.51886914546233,48.0,59.0
498.355,43.538,0.001,11.0,500.0,461.0,39.0,31.824709009988364,31.0,16.419190252248463,59.0,1.75610073776317,22.0,64.0
498.355,43.538,0.001,14.0,500.0,464.0,36.0,16.330803268081294,69.0,20.40081485769422,12.0,13.26838187422449,8.0,40.0
498.355,43.538,0.001,48.0,500.0,498.0,2.0,17.29327478889827,7.0,31.506941181980874,28.0,1.1997840291208584,1.0,84.0
498.355,43.538,0.001,45.0,500.0,495.0,5.0,18.40914117310742,63.0,17.572200264524092,22.0,14.018658562368486,24.0,58.0
498.355,43.538,0.001,20.0,500.0,470.0,30.0,13.136588605699139,61.0,18.4686091252706,67.0,18.394802269030254,99.0,96.0
498.355,43.538,0.001,20.0,500.0,470.0,30.0,24.391751216946233,71.0,11.106413523881333,61.0,14.501835259172434,100.0,46.0
498.355,43.538,0.001,16.0,500.0,466.0,34.0,9.979352475255244,47.0,6.569389030432468,75.0,33.45125849431229,56.0,32.0
498.355,43.538,0.001,26.0,500.0,476.0,24.0,20.495471808860202,71.0,20.721793481832822,34.0,8.782734709306979,88.0,74.0
498.355,43.538,0.001,36.0,500.0,486.0,14.0,5.162723064777836,46.0,27.078533963053577,63.0,17.758742972168587,49.0,59.0
498.355,43.538,0.001,21.0,500.0,471.0,29.0,16.552743828764314,38.0,21.76017423519385,37.0,11.687081936041835,15.0,58.0
498.355,43.538,0.001,34.0,500.0,484.0,16.0,16.059785331545818,16.0,17.468370176317247,56.0,16.471844492136935,46.0,18.0
498.355,43.538,0.001,35.0,500.0,485.0,15.0,13.20746516711635,78.0,18.90236351479187,45.0,17.890171318091774,59.0,54.0
498.355,43.538,0.001,41.0,500.0,491.0,9.0,27.279783239957506,15.0,13.22277023406144,24.0,9.497446525981058,91.0,67.0
498.355,43.538,0.001,26.0,500.0,476.0,24.0,10.214866431303466,23.0,16.24309909855422,71.0,23.542034470142312,61.0,16.0
498.355,43.538,0.001,32.0,500.0,482.0,18.0,31.422873627115855,35.0,15.881630063865881,59.0,2.695496309018262,55.0,36.0
498.355,43.538,0.001,33.0,500.0,483.0,17.0,1.656255401565965,54.0,22.40006706294817,68.0,25.94367753548586,72.0,16.0
498.355,43.538,0.001,2.0,500.0,452.0,48.0,9.164980265098503,25.0,20.75083351489297,46.0,20.084186220008526,72.0,46.0
498.355,43.538,0.001,31.0,500.0,481.0,19.0,6.651151271722358,29.0,3.1843317079797,12.0,40.16451702029794,2.0,26.0
498.355,43.538,0.001,29.0,500.0,479.0,21.0,13.270637791410289,90.0,15.80642943258383,67.0,20.922932776005876,21.0,0.0
498.355,43.538,0.001,5.0,500.0,455.0,45.0,20.608180064083196,36.0,12.161424394172407,62.0,17.230395541744397,89.0,7.0
498.355,43.538,0.001,45.0,500.0,495.0,5.0,14.293061487755573,63.0,14.19756055549417,12.0,21.509377956750253,33.0,95.0
498.355,43.538,0.001,12.0,500.0,462.0,38.0,12.882632544460165,33.0,29.51617093009295,47.0,7.601196525446887,16.0,54.0
498.355,43.538,0.001,36.0,500.0,486.0,14.0,21.899399155074555,35.0,13.916194363864317,86.0,14.184406481061124,83.0,25.0
498.355,43.538,0.001,50.0,500.0,500.0,0.0,17.51491879143,21.0,16.816667866369254,60.0,15.668413342200743,10.0,61.0
498.355,43.538,0.001,42.0,500.0,492.0,8.0,0.06517734298051871,49.0,33.94472631702387,19.0,15.990096339995613,71.0,38.0
498.355,43.538,0.001,39.0,500.0,489.0,11.0,9.858360203988363,0.0,27.879349720414908,59.0,12.262290075596727,43.0,85.0
498.355,43.538,0.001,35.0,500.0,485.0,15.0,11.534029749148582,88.0,21.660249812200323,79.0,16.805720438651097,74.0,57.0
498.355,43.538,0.001,40.0,500.0,490.0,10.0,20.059341016490595,11.0,14.255603255152668,61.0,15.68505572835674,79.0,65.0
498.355,43.538,0.001,6.0,500.0,456.0,44.0,2.162279383816437,78.0,18.64793448205228,37.0,29.189786134131285,8.0,30.0
498.355,43.538,0.001,50.0,500.0,500.0,0.0,19.21245148443018,61.0,10.03202558912849,70.0,20.75552292644133,30.0,98.0
498.355,43.538,0.001,14.0,500.0,464.0,36.0,24.47743645780236,51.0,5.142890967256732,0.0,20.379672574940912,38.0,26.0
498.355,43.538,0.001,41.0,500.0,491.0,9.0,18.351952935453088,78.0,26.060436457803895,98.0,5.587610606743015,33.0,67.0
498.355,43.538,0.001,41.0,500.0,491.0,9.0,26.852746029629643,35.0,18.84006498887513,21.0,4.307188981495226,29.0,89.0
498.355,43.538,0.001,11.0,500.0,461.0,39.0,30.10822726737052,47.0,12.336218814073494,100.0,7.555553918555986,42.0,86.0
498.355,43.538,0.001,1.0,500.0,451.0,49.0,8.262411025347415,54.0,16.81383692378071,59.0,24.923752050871876,5.0,79.0
498.355,43.538,0.001,16.0,500.0,466.0,34.0,24.28662368386473,8.0,4.363039767609684,64.0,21.35033654852559,68.0,47.0
498.355,43.538,0.001,16.0,500.0,466.0,34.0,14.607666416331478,54.0,14.527121798303735,96.0,20.865211785364785,47.0,48.0
498.355,43.538,0.001,49.0,500.0,499.0,1.0,16.583259450761634,86.0,19.062467129714292,12.0,14.354273419524072,15.0,85.0
498.355,43.538,0.001,19.0,500.0,469.0,31.0,19.978387432741457,77.0,18.149211880461138,63.0,11.872400686797407,35.0,82.0
498.355,43.538,0.001,13.0,500.0,463.0,37.0,15.416108976798387,23.0,12.816660366566099,83.0,21.767230656635512,87.0,1.0
498.355,43.538,0.001,37.0,500.0,487.0,13.0,13.513106482461406,17.0,30.246343437099032,1.0,6.240550080439563,62.0,92.0
498.355,43.538,0.001,25.0,500.0,475.0,25.0,16.967725295196036,40.0,22.111159241170686,23.0,10.92111546363328,33.0,54.0
498.355,43.538,0.001,6.0,500.0,456.0,44.0,8.418381170880625,93.0,19.855233055452366,73.0,21.72638577366701,61.0,16.0
498.355,43.538,0.001,10.0,500.0,460.0,40.0,19.737461119513732,47.0,5.25858524927177,71.0,25.0039536312145,95.0,7.0
498.355,43.538,0.001,16.0,500.0,466.0,34.0,17.993095369952925,78.0,19.199674603968532,32.0,12.807230026078544,84.0,30.0
498.355,43.538,0.001,38.0,500.0,488.0,12.0,19.614609752638785,92.0,20.194037587051515,8.0,10.191352660309697,46.0,71.0
498.355,43.538,0.001,23.0,500.0,473.0,27.0,24.831768499728483,48.0,22.91619503832132,82.0,2.252036461950199,19.0,41.0
498.355,43.538,0.001,17.0,500.0,467.0,33.0,17.714323805794127,55.0,27.371276415888836,67.0,4.914399778317037,88.0,95.0
498.355,43.538,0.001,29.0,500.0,479.0,21.0,17.12984774497819,35.0,19.903995149715485,64.0,12.966157105306328,50.0,97.0
498.355,43.538,0.001,43.0,500.0,493.0,7.0,24.715369755476104,90.0,19.027690696610357,83.0,6.256939547913536,78.0,17.0
498.355,43.538,0.001,43.0,500.0,493.0,7.0,1.786411892008495,47.0,45.544589089553774,93.0,2.668999018437731,4.0,21.0
498.355,43.538,0.001,12.0,500.0,462.0,38.0,30.567303462311962,52.0,11.054750797816448,40.0,8.377945739871592,13.0,19.0
498.355,43.538,0.001,49.0,500.0,499.0,1.0,17.266311218336796,78.0,11.64457372879352,38.0,21.089115052869687,90.0,73.0
498.355,43.538,0.001,28.0,500.0,478.0,22.0,39.51683528703914,36.0,8.353238643603992,14.0,2.1299260693568667,14.0,2.0
498.355,43.538,0.001,28.0,500.0,478.0,22.0,20.157416834718827,52.0,20.546468604304412,39.0,9.296114560976763,37.0,89.0
498.355,43.538,0.001,28.0,500.0,478.0,22.0,32.44685113461264,3.0,16.933515797219034,61.0,0.6196330681683164,6.0,21.0
498.355,43.538,0.001,28.0,500.0,478.0,22.0,17.240382285520457,38.0,6.031693107254679,69.0,26.727924607224864,14.0,54.0
498.355,43.538,0.001,3.0,500.0,453.0,47.0,17.932638470287934,84.0,11.099322468555934,71.0,20.96803906115613,81.0,12.0
498.355,43.538,0.001,18.0,500.0,468.0,32.0,18.385112575675027,31.0,4.0406953775500165,4.0,27.574192046774957,43.0,62.0
